Model,Accuracy,Precision,F1 Score,Recall,AUC
Adaboost,0.8167,0.6621,0.4416,0.3313,0.7749
Adaboost with SMOTE,0.7478,0.4409,0.4965,0.5682,0.7454
Adaboost with oversampling,0.7572,0.459,0.5249,0.6131,0.7733
Adaboost with undersampling,0.7458,0.4434,0.5212,0.6321,0.7633
Xgboost,0.8173,0.6415,0.4731,0.3747,0.7662
Xgboost with SMOTE,0.7615,0.458,0.4737,0.4905,0.7343
Xgboost with oversampling,0.764,0.4674,0.5107,0.5628,0.7577
Xgboost with undersampling,0.7083,0.3992,0.4971,0.6588,0.7642
LightGBM,0.8222,0.6723,0.4736,0.3656,0.7818
LightGBM with SMOTE,0.776,0.4886,0.4978,0.5072,0.7514
LightGBM with oversampling,0.7645,0.4709,0.5341,0.6169,0.7801
LightGBM with undersampling,0.7397,0.4364,0.5226,0.6512,0.7758
